1020,1020,Albereda,,4372694.493,726668.229,,,0,
1021,1021,Pla del Reial,,4372960.453,726489.285,,,0,
1026,1026,Ribàs (imparell) - Ador,,4368090.933,727158.752,,,0,
1027,1027,Principal - El Caroig,,4368085.738,726986.867,,,0,
1028,1028,Mare de Déu de Lepant (imparell) - Esc. F. Siurana,,4367757.724,726913.853,,,0,
1029,1029,Vicent Puchol - Font de Bonet,,4367435.072,726877.702,,,0,
1030,1030,Crist del Refugi - Davant Sant Agustí,,4367200.126,726906.174,,,0,
1032,1032,Tírig - Guàrdia Civil,,4373621.9,727134.007,,,0,
1035,1035,Aragó - Finlàndia,,4372357.349,727211.626,,,0,
1036,1036,Uruguai - Veneçuela,,4370588.712,724814.13,,,0,
1038,1038,Arxiduc Carles (imparell) - Tres Forques,,4371443.232,723984.759,,,0,
1039,1039,Ernest Ferrer - Aragó,,4372531.034,727350.354,,,0,
1041,1041,Plaça d'Espanya,,4371764.019,725195.021,,,0,
1042,1042,Regne de València - Ciscar,,4371461.031,726851.35,,,0,
1044,1044,Poliesportiu de Burjassot,,4376308.866,722135.007,,,0,
1050,1050,Mediterránia - Vicent Brull,,4372087.375,729539.815,,,0,
1052,1052,Eugènia Viñes - Mare de Déu del Sufragi,,4372004.909,730090.35,,,0,
1054,1054,Aragó - Saragossa,,4372112.402,727104.081,,,0,
1055,1055,Aragó - Ernest Ferrer,,4372582.617,727355.834,,,0,
1057,1057,Estadi de Mestalla,,4372834.922,727444.367,,,0,
1060,1060,Pere Cabanes - Mont Carmel,,4375052.103,725915.428,,,0,
1061,1061,Pere Cabanes - Sant Doménec Savio,,4374997.078,725698.115,,,0,
1062,1062,Pere Cabanes - Bisbe Laguarda,,4374905.938,725403.439,,,0,
1067,1067,Equador - Pintor Matarana,,4375074.905,724193.889,,,0,
1080,1080,Sant Vicent de Paül - Peníscola,,4374553.414,726119.689,,,0,
1083,1083,Aragó,,4372578.4,727276.222,,,0,
1085,1085,Aragó - Xile,,4372285.722,727244.328,,,0,
1087,1087,Sant Antoni - Pizarro,,4372858.716,721698.011,,,0,
1091,1091,Malilla (parell) - Bernat Descoll,,4370047.781,725499.184,,,0,
1096,1096,Ramon Llull - Bernat Fenollar,,4373073.313,728257.03,,,0,
1125,1125,Comte de Torrefiel - Mestre Marçal,,4374803.33,725651.392,,,0,
1136,1136,Palma de Gandia - Venta del Moro,,4378818.492,724843.345,,,0,
1141,1141,Germans Maristes (imparell) - Fonteta Sant Lluís,,4370202.707,726483.861,,,0,